_id , agile1rcat_name , other_name , RA , Dec , LII , BII , 95percPositionError , NDetect , MeanExposure , OBNum , sqrt(TS) , OBFlux , FluxError , 1AGLFlux , V_McLaugh , Vsys3sig_McLaugh , Vsys2sig_McLaugh , Fsys , Off-Axis_angle , Time , ConfirmedCounterp , PossibleAssociation , 1AGLName , BZCATName , 3EGName , 2FGLName , Classification 
26   , "1AGL J1506-5859"   ,  "---"   ,  226.50625   ,  -58.98714   ,  319.52   ,  -0.52   ,  0   ,  4   ,  102   ,  5400   ,  3.9   ,  5.97   ,  1.66   ,  4.1   ,  -1   ,  -1   ,  0.21   ,  1.79   ,  18.7   ,  "2008-03-01"   ,  "PSRJ1509-5850"   ,  "---"   ,  "1AGL J1506-5859"   ,  "---"   ,  "---"   ,  "2FGL J1509.6-5850"   ,  "Radio Pulsar"
27   , "1AGLR J1513-0906"   ,  "---"   ,  228.29083   ,  -9.09203   ,  351.37   ,  40.09   ,  0.1   ,  4   ,  174   ,  6800   ,  17.3   ,  18.07   ,  1.46   ,  22   ,  6   ,  3.69   ,  10.14   ,  50.2   ,  38.7   ,  "2009-02-28"   ,  "PKS1510-089"   ,  "---"   ,  "1AGL J1511-0908"   ,  "BZQJ1512-0905"   ,  "3EGJ1512-0849"   ,  "2FGL J1512.8-0906"   ,  "QSO Radio Loud flat radio sp."
28   , "1AGL J1624-4946"   ,  "PSRJ1623-4949"   ,  246.11208   ,  -49.78111   ,  334.09   ,  -0.25   ,  0   ,  4   ,  201   ,  6200   ,  3.2   ,  4.85   ,  1.6   ,  6.7   ,  -1   ,  -1   ,  0.02   ,  0.34   ,  29.5   ,  "2008-09-10"   ,  "---"   ,  "PSRJ1623-4949"   ,  "1AGL J1624-4946"   ,  "---"   ,  "---"   ,  "2FGL J1624.0-4941"   ,  "Unknown class"
29   , "1AGLR J1625-2531"   ,  "OS-237.8"   ,  246.33292   ,  -25.51208   ,  352.03   ,  16.36   ,  0.39   ,  6   ,  94   ,  8200   ,  5.4   ,  5.26   ,  1.18   ,  0   ,  0.3   ,  0.28   ,  0.93   ,  8.81   ,  23.5   ,  "2009-09-16"   ,  "---"   ,  "OS-237.8"   ,  "---"   ,  "BZUJ1625-2527"   ,  "---"   ,  "2FGL J1625.7-2526"   ,  "AGN"
30   , "1AGL J1639-4702"   ,  "HESSJ1640-465"   ,  249.77292   ,  -47.04117   ,  337.75   ,  -0.15   ,  0   ,  13   ,  174   ,  6800   ,  4.8   ,  7.11   ,  1.6   ,  7.6   ,  0   ,  0   ,  0.01   ,  3.88   ,  20.7   ,  "2009-02-28"   ,  "---"   ,  "HESSJ1640-465"   ,  "1AGL J1639-4702"   ,  "---"   ,  "3EGJ1639-4702"   ,  "2FGL J1638.0-4703"   ,  "Unknown class"
31   , "1AGL J1709-4428"   ,  "---"   ,  257.35292   ,  -44.48081   ,  343.07   ,  -2.64   ,  0   ,  17   ,  201   ,  6200   ,  14.7   ,  12.36   ,  1.09   ,  12.1   ,  0.1   ,  0.04   ,  0.04   ,  9.02   ,  20.2   ,  "2008-09-10"   ,  "PSRJ1709-4429"   ,  "---"   ,  "1AGL J1709-4428"   ,  "---"   ,  "3EGJ1710-4439"   ,  "2FGL J1709.7-4429"   ,  "Radio Pulsar"
32   , "1AGL J1736-3235"   ,  "PSRJ1738-3211"   ,  264.08333   ,  -32.58356   ,  355.85   ,  -0.24   ,  0   ,  5   ,  56   ,  7010   ,  3.4   ,  9.99   ,  3.24   ,  6.9   ,  -1   ,  -1   ,  0.32   ,  3.49   ,  30.1   ,  "2009-04-07"   ,  "---"   ,  "PSRJ1738-3211"   ,  "1AGL J1736-3235"   ,  "---"   ,  "3EGJ1734-3232"   ,  "2FGL J1737.2-3213"   ,  "Unknown class"
33   , "1AGL J1801-2317"   ,  "HESSJ1801-233"   ,  270.34458   ,  -23.28889   ,  6.66   ,  -0.18   ,  0   ,  9   ,  201   ,  6200   ,  5.1   ,  5.3   ,  1.13   ,  6.9   ,  0.4   ,  0.37   ,  0.14   ,  5.32   ,  5.8   ,  "2008-09-10"   ,  "W28"   ,  "HESSJ1801-233"   ,  "1AGL J1801-2317"   ,  "---"   ,  "---"   ,  "2FGL J1801.3-2326"   ,  "SNR "
34   , "1AGLR J1803-3941"   ,  "BZUJ1802-3940"   ,  270.69083   ,  -39.67672   ,  352.45   ,  -8.44   ,  0.29   ,  7   ,  72   ,  7900   ,  6.7   ,  7.11   ,  1.36   ,  0   ,  1.4   ,  1.1   ,  1.22   ,  12.05   ,  16.1   ,  "2009-08-31"   ,  "---"   ,  "BZUJ1802-3940"   ,  "---"   ,  "BZUJ1802-3940"   ,  "---"   ,  "2FGL J1802.6-3940"   ,  "AGN"
35   , "1AGLR J1805-2149"   ,  "HESSJ1804-216"   ,  271.35667   ,  -21.8185   ,  8.4   ,  -0.27   ,  0.65   ,  6   ,  201   ,  6200   ,  3.7   ,  4.89   ,  1.41   ,  5.4   ,  -1   ,  -1   ,  0.07   ,  1.93   ,  6.9   ,  "2008-09-10"   ,  "---"   ,  "HESSJ1804-216"   ,  "1AGL J1806-2143"   ,  "---"   ,  "---"   ,  "2FGL J1805.6-2136"   ,  "Unknown class"
36   , "1AGLR J1807-2103"   ,  "HESSJ1804-216"   ,  271.8725   ,  -21.05581   ,  9.3   ,  -0.32   ,  -0.9   ,  6   ,  174   ,  6800   ,  4.4   ,  8.15   ,  1.99   ,  0   ,  -1   ,  -1   ,  0.23   ,  3.7   ,  11.1   ,  "2009-02-28"   ,  "---"   ,  "HESSJ1804-216"   ,  "---"   ,  "---"   ,  "---"   ,  "---"   ,  "Unknown class"
37   , "1AGLR J1809-2333"   ,  "---"   ,  272.34583   ,  -23.55081   ,  7.33   ,  -1.91   ,  0.25   ,  11   ,  72   ,  7900   ,  5.4   ,  10.59   ,  2.3   ,  5.3   ,  2   ,  1.65   ,  0.66   ,  13.08   ,  22.2   ,  "2009-08-31"   ,  "---"   ,  "---"   ,  "1AGL J1809-2333"   ,  "---"   ,  "3EGJ1809-2328"   ,  "2FGL J1809.8-2332"   ,  "Unknown class"
38   , "1AGLR J1822-1456"   ,  "TeVJ1826-148"   ,  275.62542   ,  -14.93661   ,  16.38   ,  -0.53   ,  -0.9   ,  3   ,  94   ,  8200   ,  4.7   ,  9.25   ,  2.16   ,  8.6   ,  -1   ,  -1   ,  0.21   ,  0.99   ,  9.2   ,  "2009-09-16"   ,  "---"   ,  "TeVJ1826-148"   ,  "1AGL J1824-1455"   ,  "---"   ,  "3EGJ1824-1514"   ,  "---"   ,  "Unknown class"
39   , "1AGL J1827-1227"   ,  "PSRJ1826-1334"   ,  276.74042   ,  -12.78294   ,  18.79   ,  -0.48   ,  0   ,  11   ,  174   ,  6800   ,  5.2   ,  8.24   ,  1.71   ,  7.9   ,  0.5   ,  0.42   ,  0.04   ,  4.79   ,  20.5   ,  "2009-02-28"   ,  "---"   ,  "PSRJ1826-1334"   ,  "1AGL J1827-1227"   ,  "---"   ,  "3EGJ1826-1302"   ,  "2FGL J1826.1-1256"   ,  "Unknown class"
40   , "1AGLR J1833-2057"   ,  "---"   ,  278.34542   ,  -20.94467   ,  12.24   ,  -5.6   ,  0.18   ,  9   ,  97   ,  8300   ,  4.7   ,  4.59   ,  1.15   ,  0   ,  0.4   ,  0.35   ,  0.19   ,  5.97   ,  8.4   ,  "2009-09-30"   ,  "PKS1830-210"   ,  "---"   ,  "---"   ,  "BZQJ1833-2103"   ,  "---"   ,  "2FGL J1833.6-2104"   ,  "QSO Radio Loud flat radio sp."
41   , "1AGL J1836+5923**"   ,  "---"   ,  279.06958   ,  59.39561   ,  88.85   ,  24.99   ,  0   ,  17   ,  256   ,  6720   ,  12.9   ,  5.57   ,  0.61   ,  4.5   ,  0.8   ,  0.39   ,  0.39   ,  16.73   ,  30.2   ,  "2009-01-19"   ,  "---"   ,  "---"   ,  "1AGL J1836+5923"   ,  "BZBJ1841+5906"   ,  "3EGJ1835+5918"   ,  "2FGL J1836.2+5926"   ,  "Unknown class"
42   , "1AGLR J1839-0550"   ,  "GS1839-06"   ,  279.755   ,  -5.83919   ,  26.32   ,  0.09   ,  0.29   ,  8   ,  94   ,  8200   ,  4.6   ,  9.21   ,  2.18   ,  0   ,  0.5   ,  0.41   ,  0.22   ,  5.47   ,  19.1   ,  "2009-09-16"   ,  "---"   ,  "GS1839-06"   ,  "---"   ,  "---"   ,  "---"   ,  "2FGL J1839.0-0539"   ,  "Unknown class"
43   , "1AGLR J1848+6709"   ,  "BZQJ1849+6705"   ,  282.09875   ,  67.15392   ,  97.54   ,  25.14   ,  0.15   ,  11   ,  153   ,  6600   ,  5.5   ,  4.58   ,  1.01   ,  2   ,  1.8   ,  1.49   ,  1.69   ,  21.12   ,  40.9   ,  "2008-12-20"   ,  "---"   ,  "BZQJ1849+6705"   ,  "1AGL J1846+6714"   ,  "BZQJ1842+6809"   ,  "----"   ,  "2FGL J1849.4+6706"   ,  "QSO Radio Loud flat radio sp."
44   , "1AGL J1856+0122"   ,  "---"   ,  283.99042   ,  1.37344   ,  34.67   ,  -0.38   ,  0   ,  12   ,  94   ,  8200   ,  5.9   ,  11.9   ,  2.29   ,  12.3   ,  0.7   ,  0.53   ,  0.48   ,  12.46   ,  27.4   ,  "2009-09-16"   ,  "W44"   ,  "---"   ,  "1AGL J1856+0122"   ,  "---"   ,  "3EGJ1856+0114"   ,  "2FGL J1855.9+0121"   ,  "SNR "
45   , "1AGL J1908+0614"   ,  "MGROJ1908+06"   ,  287.035   ,  6.24292   ,  40.39   ,  -0.85   ,  0.5   ,  8   ,  135   ,  5600   ,  4.1   ,  6.01   ,  1.58   ,  7.6   ,  0.1   ,  0.09   ,  0.09   ,  3.69   ,  16.1   ,  "2008-04-10"   ,  "---"   ,  "MGROJ1908+06"   ,  "1AGL J1908+0614"   ,  "---"   ,  "3EGJ1903+0550"   ,  "2FGL J1907.9+0602"   ,  "Unknown class"
46   , "1AGLR J2016+3644"   ,  "BZUJ2015+3710"   ,  304.08583   ,  36.73422   ,  74.59   ,  0.83   ,  0.31   ,  6   ,  256   ,  6720   ,  4.2   ,  8.07   ,  2.09   ,  0   ,  0.4   ,  0.34   ,  0.16   ,  3.08   ,  43.7   ,  "2009-01-19"   ,  "---"   ,  "BZUJ2015+3710"   ,  "---"   ,  "BZUJ2015+3710"   ,  "---"   ,  "2FGL J2015.6+3709"   ,  "Unknown class"
47   , "1AGLR J2021+3653"   ,  "---"   ,  305.25542   ,  36.88267   ,  75.24   ,  0.14   ,  0.09   ,  18   ,  201   ,  5800   ,  8.5   ,  6.54   ,  0.92   ,  6.5   ,  1   ,  0.64   ,  0.65   ,  21.03   ,  10.5   ,  "2008-05-10"   ,  "PSRJ2021+3651"   ,  "---"   ,  "1AGL J2021+3652"   ,  "BZUJ2015+3710"   ,  "3EGJ2021+3716"   ,  "2FGL J2021.0+3651"   ,  "Radio Pulsar"
48   , "1AGLR J2021+4030"   ,  "---"   ,  305.30875   ,  40.49847   ,  78.24   ,  2.16   ,  0.06   ,  20   ,  201   ,  5800   ,  15.3   ,  15.8   ,  1.3   ,  12   ,  5.9   ,  3.01   ,  2.7   ,  41.64   ,  11.3   ,  "2008-05-10"   ,  "PSR&SNR incomplexreg."   ,  "---"   ,  "1AGL J2022+4032"   ,  "---"   ,  "3EGJ2020+4017"   ,  "2FGL J2019.1+4040"   ,  "Extended galactic"
49   , "1AGLR J2027-0747"   ,  "BZQJ2025-0735"   ,  306.6925   ,  -7.79153   ,  36.84   ,  -24.72   ,  0.21   ,  8   ,  176   ,  4800   ,  5.2   ,  5.66   ,  1.34   ,  3.9   ,  1.2   ,  1.41   ,  1.23   ,  13.59   ,  41.7   ,  "2007-11-02"   ,  "---"   ,  "BZQJ2025-0735"   ,  "1AGL J2026-0732"   ,  "BZQJ2025-0735"   ,  "3EGJ2025-0744"   ,  "2FGL J2025.6-0736"   ,  "QSO Radio Loud flat radio sp."
50   , "1AGLR J2030-0617"   ,  "BZQJ2030-0617"   ,  307.58958   ,  -6.28986   ,  38.76   ,  -24.84   ,  0.17   ,  2   ,  176   ,  4800   ,  4   ,  3.79   ,  1.12   ,  0   ,  0.2   ,  0.17   ,  0.17   ,  0.17   ,  40.2   ,  "2007-11-02"   ,  "---"   ,  "BZQJ2030-0617"   ,  "---"   ,  "BZQJ2030-0617"   ,  "---"   ,  "2FGL J2030.3-0622"   ,  "QSO Radio Loud flat radio sp."
51   , "1AGLR J2031+4130"   ,  "TeVJ2032+4130"   ,  307.72542   ,  41.49625   ,  80.11   ,  1.25   ,  0.18   ,  6   ,  137   ,  7600   ,  3.2   ,  6.3   ,  1.95   ,  0   ,  -1   ,  -1   ,  0.3   ,  4.35   ,  37   ,  "2009-06-25"   ,  "PSRJ2032+4127"   ,  "TeVJ2032+4130"   ,  "---"   ,  "---"   ,  "---"   ,  "2FGL J2032.2+4126"   ,  "Radio Pulsar"
52   , "1AGLR J2033+4057"   ,  "---"   ,  308.29375   ,  40.94636   ,  79.92   ,  0.58   ,  0.3   ,  9   ,  119   ,  6500   ,  5.5   ,  7.88   ,  1.66   ,  3.7   ,  0.6   ,  0.49   ,  0.69   ,  10.95   ,  18.8   ,  "2008-11-30"   ,  "CygX-3"   ,  "---"   ,  "1AGL J2032+4102"   ,  "---"   ,  "3EGJ2033+4118"   ,  "2FGL J2032.1+4049"   ,  "HMXRB"
53   , "1AGL J2231+6109"   ,  "---"   ,  337.78   ,  61.163   ,  106.82   ,  2.76   ,  0   ,  12   ,  201   ,  5800   ,  5.9   ,  4.91   ,  0.97   ,  3.2   ,  0.7   ,  0.56   ,  0.42   ,  11.82   ,  28.7   ,  "2008-05-10"   ,  "PSRJ2229+6114"   ,  "---"   ,  "1AGL J2231+6109"   ,  "---"   ,  "3EGJ2227+6122"   ,  "2FGL J2229.0+6114"   ,  "Radio Pulsar"
54   , "1AGLR J2254+1609"   ,  "---"   ,  343.48375   ,  16.15083   ,  86.11   ,  -38.18   ,  0.06   ,  15   ,  176   ,  4800   ,  26.6   ,  28.06   ,  1.6   ,  20   ,  90.2   ,  35.91   ,  52.3   ,  287.4   ,  36.1   ,  "2007-11-02"   ,  "3C454.3"   ,  "---"   ,  "1AGL J2254+1602"   ,  "BZQJ2253+1608"   ,  "3EGJ2254+1601"   ,  "2FGL J2253.9+1609"   ,  "QSO Radio Loud flat radio sp."

