_id,fermi_name , Counterpart_name , RA, Dec  , LII , BII , AngSep , Theta95 , Class , Redshift , SED_Class , Probability_Bayesian , Reliability_LR_RG , Reliability_LR_XG , ProbabilityLogN-logS , LR_RG , LR_XG , Flux1GeV-100 GeV , Spectral_index , Spectral_Index_Error , TS , Radio_flux , X_Flux , USNOVmag , SDSSVmag , ARO , AOX , CLEAN , IN 2FGL
11 , 2FGLJ0010.5+6556 , GB6 J0011+6603 , 2.91208 , 66.06072 , 118.9 , 3.5 , 0.168 , 0.19 , AGU , -999 , - , 0.869 , 0.91 , 0 , 0 , 0.478 , -9.9 , (10.2+/-2.4) e-10 , 2.413 , 0.229 , 71 , 63 , - , 19.7 , - , - , - , NO , YES
12 , 2FGLJ0012.9-3954 , PKS 0010-401 , 3.24958 , -39.90717 , 332.46 , -74.95 , 0.007 , 0.107 , BL Lac , 0 , - , 0.999 , 0.99 , 0 , 1 , 2.654 , -9.9 , (5.2+/-1.1) e-10 , 2.163 , 0.161 , 50 , 494 , - , 18.09 , - , 0.744 , - , YES , YES
13 , 2FGLJ0013.8+1907 , GB6 J0013+1910 , 3.485 , 19.17822 , 110.82 , -42.81 , 0.056 , 0.158 , BL Lac , 0.473 , - , 0.989 , 0.97 , 0 , 1 , 1.494 , -9.9 , (4+/-1.1) e-10 , 2.056 , 0.193 , 25 , 161 , - , 18.41 , - , 0.612 , - , YES , YES
14 , 2FGLJ0017.4-0018 , S3 0013-00 , 4.04542 , -0.25403 , 103.99 , -61.83 , 0.322 , 0.28 , FSRQ , 1.574 , LSP , 0 , 0.97 , 0 , 0 , 1.65 , -9.9 , (4.1+/-1) e-10 , 2.603 , 0.138 , 38 , 1085 , 3.19e-13 , 19.99 , 19.17 , 0.836 , 1.11 , YES , YES
15 , 2FGLJ0017.6-0510 , PMN J0017-0512 , 4.39875 , -5.21178 , 101.23 , -66.65 , 0.03 , 0.071 , FSRQ , 0.226 , LSP , 0.999 , 0.99 , 0.97 , 1 , 2.22 , 3.071 , (13.9+/-1.7) e-10 , 2.445 , 0.074 , 185 , 178 , 1.74e-12 , 18.09 , - , 0.627 , 1.097 , YES , YES
16 , 2FGLJ0018.5+2945 , RBS 0042 , 4.61542 , 29.79172 , 114.44 , -32.54 , 0.035 , 0.098 , BL Lac , 0 , HSP , 0.999 , 0.95 , 0.99 , 0 , 1.099 , 4.097 , (20.9+/-8.2) e-11 , 1.242 , 0.283 , 31 , 33 , 1.43e-11 , 17.47 , - , 0.363 , 0.899 , YES , YES
17 , 2FGLJ0019.4-5645 , PMN J0019-5641 , 4.86042 , -56.69525 , 311.69 , -59.89 , 0.061 , 0.174 , AGU , -999 , - , 0.981 , 0.89 , 0 , 0.88 , 1.323 , -9.9 , (3.2+/-1.2) e-10 , 2.657 , 0.284 , 37 , 60 , - , 20.36 , - , - , - , YES , YES
18 , 2FGLJ0018.8-8154 , PMN J0019-8152 , 4.84083 , -81.88083 , 304.31 , -35.17 , 0.028 , 0.134 , AGU , -999 , HSP , 0 , 0.93 , 0.96 , 0.87 , 1.706 , 2.927 , (9+/-1.5) e-10 , 2.135 , 0.122 , 69 , 83 , 2.97e-12 , 16.35 , - , 0.305 , 1.32 , YES , YES
19 , 2FGLJ0021.6-2551 , CRATES J002132.55-2550 , 5.38542 , -25.84697 , 42.1 , -83.19 , 0.024 , 0.079 , BL Lac , 0 , ISP , 0.998 , 0.98 , 0 , 0.91 , 1.67 , -9.9 , (8.7+/-1.3) e-10 , 1.977 , 0.111 , 116 , 69 , 1.72e-13 , 17.22 , - , 0.489 , 1.632 , YES , YES
20 , 2FGLJ0022.3-5141 , 1RXS 002159.2-514028 , 5.49917 , -51.67408 , 313.7 , -64.84 , 0.062 , 0.15 , AGU , -999 , HSP , 0 , 0.85 , 0.97 , 0 , 1.032 , 3.07 , (4.2+/-1.1) e-10 , 2.224 , 0.165 , 36 , 19 , 5.03e-12 , 16.58 , - , 0.234 , 1.15 , YES , YES
21 , 2FGLJ0022.2-1853 , 1RXS 002209.2-185333 , 5.53792 , -18.89247 , 82.14 , -79.37 , 0.02 , 0.063 , AGU , -999 , HSP , 0 , 0.97 , 0.96 , 0.95 , 1.345 , 2.957 , (8.9+/-1.4) e-10 , 1.532 , 0.116 , 141 , 22 , 1.09e-12 , 17.45 , - , 0.323 , 1.338 , YES , YES
22 , 2FGLJ0022.5+0607 , PKS 0019+058 , 5.635 , 6.13456 , 110 , -56.01 , 0.013 , 0.059 , BL Lac , 0 , LSP , 0.999 , 0.99 , 0 , 1 , 2.858 , -9.9 , (22.2+/-2) e-10 , 2.091 , 0.063 , 391 , 340 , 2.45e-13 , 19.51 , - , 0.816 , 1.04 , YES , YES
23 , 2FGLJ0023.2+4454 , B3 0020+446 , 5.8975 , 44.94336 , 117.76 , -17.65 , 0.069 , 0.107 , FSRQ , 1.062 , - , 0.996 , 0.97 , 0 , 1 , 1.601 , -9.9 , (7.2+/-1.3) e-10 , 2.36 , 0.116 , 76 , 140 , - , - , - , - , - , YES , YES
24 , 2FGLJ0024.5+0346 , GB6 J0024+0349 , 6.18792 , 3.81761 , 110.15 , -58.39 , 0.055 , 0.166 , FSRQ , 0.545 , - , 0 , 0.91 , 0 , 0.97 , 0.493 , -9.9 , (5+/-1.3) e-10 , 2.244 , 0.156 , 32 , 22 , - , 19.81 , - , 0.609 , - , YES , YES
25 , 2FGLJ0029.2-7043 , PKS 0026-710 , 7.17042 , -70.75467 , 305.64 , -46.26 , 0.052 , 0.161 , BL Lac , 0 , - , 0.998 , 0 , 0 , 0.99 , -9.9 , -9.9 , (6.6+/-1.3) e-10 , 2.468 , 0.145 , 67 , 94 , - , 17.44 , - , 0.594 , - , YES , YES
26 , 2FGLJ0030.2-4223 , PKS 0027-426 , 7.57292 , -42.41317 , 317.32 , -74.13 , 0.027 , 0.081 , FSRQ , 0.495 , - , 0.999 , 0.98 , 0 , 1 , 2.864 , -9.9 , (9.7+/-1.3) e-10 , 2.613 , 0.08 , 265 , 424 , - , 18.65 , - , 0.719 , - , YES , YES
27 , 2FGLJ0033.5-1921 , KUV 00311-1938 , 8.39292 , -19.35939 , 94.17 , -81.22 , 0.003 , 0.035 , BL Lac , 0.61 , HSP , 1 , 0.98 , 1 , 1 , 1.838 , 5.069 , (31.2+/-2.3) e-10 , 1.758 , 0.049 , 754 , 18 , 1.49e-11 , 16.26 , 15.95 , 0.175 , 1.107 , YES , YES
28 , 2FGLJ0035.2+1515 , RX J0035.2+1515 , 8.81083 , 15.25075 , 117.15 , -47.44 , 0.008 , 0.062 , BL Lac , 0 , HSP , 0.999 , 0.97 , 0.99 , 0.94 , 1.346 , 4.163 , (10.8+/-1.6) e-10 , 1.621 , 0.106 , 160 , 18 , 7.33e-12 , 17.06 , 16.07 , 0.195 , 1.24 , YES , YES
29 , 2FGLJ0035.8+5951 , 1ES 0033+595 , 8.96917 , 59.83486 , 120.97 , -2.98 , 0.019 , 0.04 , BL Lac , 0 , HSP , 1 , 0.99 , 1 , 0 , 2.587 , 5.292 , (24.3+/-2.5) e-10 , 1.87 , 0.074 , 243 , 148 , 3.18e-11 , 18.21 , - , 0.367 , 1.014 , NO , YES
30 , 2FGLJ0037.8+1238 , NVSS J003750+123818 , 9.46167 , 12.6385 , 117.75 , -50.1 , 0.013 , 0.073 , BL Lac , 0 , ISP , 0 , 0.98 , 0.94 , 0.97 , 1.825 , 2.682 , (11.1+/-1.5) e-10 , 2.22 , 0.101 , 133 , 75 , 7.96e-13 , 14.39 , - , 0.136 , 1.883 , YES , YES
31 , 2FGLJ0038.1+0015 , BZB J0038+0013 , 9.53542 , 0.22667 , 115.72 , -62.46 , 0.039 , 0.14 , BL Lac , 0 , - , 0.994 , 0.97 , 0 , 0 , 1.361 , -9.9 , (3.8+/-1.1) e-10 , 1.928 , 0.223 , 28 , 96 , - , 19.67 , 18.58 , 0.581 , - , YES , YES
32 , 2FGLJ0038.3-2457 , PKS 0035-252 , 9.56125 , -24.98389 , 68.11 , -86.35 , 0.028 , 0.143 , FSRQ , 1.196 , LSP , 0.997 , 0.99 , 0.95 , 1 , 2.242 , 2.755 , (8.1+/-1.4) e-10 , 2.387 , 0.111 , 110 , 412 , 2.41e-12 , 17.29 , - , 0.619 , 1.095 , YES , YES
33 , 2FGLJ0038.7-2215 , PMN J0039-2220 , 9.78458 , -22.33381 , 92.06 , -84.46 , 0.118 , 0.137 , AGU , 0.06438 , ISP , 0 , 0.95 , 0.92 , 0 , 1.098 , 2.43 , (3.5+/-1) e-10 , 1.688 , 0.203 , 32 , 117 , 2.59e-12 , 11.51 , 14.26 , 0.231 , 1.68 , YES , YES
34 , 2FGLJ0043.7+3426 , GB6 J0043+3426 , 10.95333 , 34.44058 , 121.14 , -28.41 , 0.011 , 0.062 , FSRQ , 0.966 , - , 0 , 0.98 , 0 , 0.99 , 2.082 , -9.9 , (19+/-1.9) e-10 , 2.116 , 0.065 , 288 , 93 , - , 19.99 , - , 0.673 , - , YES , YES
35 , 2FGLJ0045.3+2127 , GB6 J0045+2127 , 11.33 , 21.46183 , 121.03 , -41.39 , 0.01 , 0.047 , BL Lac , 0 , HSP , 0.999 , 0.98 , 0.99 , 0.99 , 1.982 , 4.023 , (15.1+/-1.7) e-10 , 1.947 , 0.087 , 248 , 50 , 3.99e-12 , 16.96 , - , 0.379 , 1.184 , YES , YES
36 , 2FGLJ0044.7-3702 , PKS 0042-373 , 11.3 , -37.09656 , 310.07 , -79.95 , 0.101 , 0.153 , AGU , -999 , - , 0.976 , 0.98 , 0 , 0 , 1.791 , -9.9 , (5.2+/-1.1) e-10 , 2.574 , 0.12 , 77 , 329 , - , 19.6 , - , - , - , NO , YES
37 , 2FGLJ0045.5+1218 , GB6 J0045+1217 , 11.43042 , 12.28611 , 120.73 , -50.56 , 0.042 , 0.077 , AGU , -999 , HSP , 0 , 0.98 , 0.95 , 0.89 , 1.789 , 2.84 , (10.1+/-1.5) e-10 , 2.073 , 0.112 , 107 , 103 , 1.46e-12 , 17.73 , - , 0.441 , 1.269 , YES , YES
38 , 2FGLJ0046.7-8416 , PKS 0044-84 , 11.105 , -84.37789 , 303.13 , -32.75 , 0.123 , 0.145 , FSRQ , 1.032 , - , 0.989 , 0.96 , 0 , 0.95 , 2.337 , -9.9 , (7.2+/-1.4) e-10 , 2.533 , 0.11 , 70 , 675 , - , 19.65 , - , 0.802 , - , YES , YES
39 , 2FGLJ0047.2+5657 , GB6 J0047+5657 , 11.75208 , 56.96169 , 122.32 , -5.91 , 0.031 , 0.064 , BL Lac , 0 , - , 0.999 , 0.99 , 0 , 1 , 2.305 , -9.9 , (20+/-2.1) e-10 , 2.065 , 0.067 , 201 , 190 , - , 19.58 , - , 0.619 , - , NO , YES
40 , 2FGLJ0047.0-2516 , NGC 0253 , 11.88792 , -25.28811 , 97.39 , -87.97 , 0.121 , 0.162 , Starburst galaxy , 0.001 , - , 0.983 , 1 , 0.96 , 0.9 , 3.318 , 2.889 , (6.2+/-1.2) e-10 , 2.313 , 0.135 , 59 , 2994 , 6.02e-12 , - , - , - , - , YES , YES
41 , 2FGLJ0047.9+2232 , NVSS J004802+223525 , 12.01042 , 22.59025 , 121.9 , -40.28 , 0.054 , 0.074 , FSRQ , 1.161 , LSP , 0 , 0.97 , 0 , 0.99 , 1.579 , -9.9 , (14.5+/-1.7) e-10 , 2.421 , 0.069 , 252 , 83 , 8.1e-14 , 19.26 , - , 0.617 , 1.341 , YES , YES
42 , 2FGLJ0050.2+0234 , PKS 0047+023 , 12.43 , 2.61744 , 122.06 , -60.25 , 0.133 , 0.145 , BL Lac , 0 , - , 0.969 , 0.98 , 0 , 0.97 , 1.797 , -9.9 , (6.6+/-1.3) e-10 , 2.267 , 0.127 , 61 , 425 , - , 18.84 , - , 0.755 , - , YES , YES
43 , 2FGLJ0049.7-5738 , PKS 0047-579 , 12.4975 , -57.64125 , 303.31 , -59.49 , 0.029 , 0.094 , FSRQ , 1.797 , LSP , 1 , 0.99 , 0.92 , 1 , 3.861 , 2.386 , (5.1+/-1.1) e-10 , 2.228 , 0.162 , 51 , 2111 , 7.64e-13 , 16.92 , - , 0.703 , 1.259 , YES , YES
44 , 2FGLJ0050.1-0452 , PKS 0047-051 , 12.58958 , -4.87267 , 122.22 , -67.75 , 0.059 , 0.133 , FSRQ , 0.922 , - , 0.994 , 0.98 , 0 , 1 , 1.856 , -9.9 , (5.1+/-1.2) e-10 , 2.42 , 0.165 , 44 , 254 , - , 19.77 , - , 0.761 , - , YES , YES
45 , 2FGLJ0050.6-0929 , PKS 0048-09 , 12.67167 , -9.48508 , 122.32 , -72.36 , 0.011 , 0.048 , BL Lac , 0.635 , ISP , 1 , 1 , 0.99 , 1 , 3.685 , 4.108 , (38.5+/-2.5) e-10 , 2.14 , 0.041 , 959 , 814 , 5.03e-12 , 16.89 , 15.56 , 0.48 , 1.357 , YES , YES
46 , 2FGLJ0051.0-0648 , PKS 0048-071 , 12.78417 , -6.83439 , 122.71 , -69.71 , 0.041 , 0.102 , FSRQ , 1.975 , LSP , 0.998 , 0.99 , 0 , 1 , 3.056 , -9.9 , (12.5+/-1.7) e-10 , 2.216 , 0.085 , 140 , 904 , 4.36e-13 , 19.74 , - , 0.865 , 0.978 , YES , YES
47 , 2FGLJ0051.4-6241 , 1RXS 005117.7-624154 , 12.81833 , -62.70147 , 302.96 , -54.43 , 0.025 , 0.05 , AGU , -999 , HSP , 0 , 0.96 , 0.99 , 0 , 2.215 , 3.962 , (14.2+/-1.6) e-10 , 1.686 , 0.085 , 277 , 42 , 4.51e-12 , 16.75 , - , 0.314 , 1.142 , YES , YES
48 , 2FGLJ0055.0-2454 , 1RXS 005447.2-245532 , 13.69458 , -24.92475 , 141.9 , -87.68 , 0.06 , 0.11 , AGU , -999 , HSP , 0 , 0.94 , 0.97 , 0.9 , 0.782 , 3.098 , (4.4+/-1.1) e-10 , 1.761 , 0.174 , 36 , 24 , 3.7e-12 , 17.36 , - , 0.323 , 1.148 , YES , YES
49 , 2FGLJ0056.8-2111 , PMN J0056-2117 , 14.13417 , -21.28561 , 134.44 , -84.05 , 0.121 , 0.124 , AGU , -999 , ISP , 0.869 , 0.95 , 0.8 , 0 , 0.934 , 1.716 , (4.8+/-1.2) e-10 , 1.824 , 0.196 , 43 , 90 , 7.33e-13 , 17.11 , - , 0.464 , 1.456 , NO , YES
50 , 2FGLJ0057.9-3236 , PKS 0055-328 , 14.50917 , -32.57178 , 288.6 , -84.38 , 0.038 , 0.083 , BL Lac , 0 , LSP , 0.998 , 0.98 , 0 , 1 , 2.084 , -9.9 , (9.3+/-1.3) e-10 , 2.102 , 0.095 , 130 , 186 , 1.13e-13 , 19.79 , - , 0.845 , 1.096 , YES , YES
51 , 2FGLJ0057.9+3311 , MG3 J005830+3311 , 14.63333 , 33.18803 , 124.64 , -29.66 , 0.129 , 0.128 , FSRQ , 1.369 , - , 0.922 , 0.96 , 0 , 0 , 1.17 , -9.9 , (8.1+/-1.4) e-10 , 2.228 , 0.114 , 77 , 160 , - , 19.77 , - , 0.718 , - , YES , YES
52 , 2FGLJ0059.7-5700 , PKS 0056-572 , 14.69375 , -56.98675 , 300.92 , -60.12 , 0.133 , 0.188 , AGU , -999 , LSP , 0.983 , 0.95 , 0 , 0.96 , 2.002 , -9.9 , (5.4+/-1.2) e-10 , 2.705 , 0.131 , 82 , 485 , 2.34e-12 , 17.15 , - , 0.618 , 1.191 , YES , YES
53 , 2FGLJ0059.2-0151 , 1RXS 005916.3-015030 , 14.82 , -1.83822 , 127.51 , -64.64 , 0.013 , 0.092 , AGU , -999 , HSP , 0 , 0.95 , 0.97 , 0 , 0.988 , 3.086 , (2.2+/-1) e-10 , 1.154 , 0.356 , 30 , 18 , 2.15e-12 , 16.3 , - , 0.209 , 1.413 , YES , YES
54 , 2FGLJ0100.2+0746 , GB6 J0100+0745 , 15.08667 , 7.76414 , 126.78 , -55.04 , 0.026 , 0.044 , BL Lac , 0 , - , 0.996 , 0.99 , 0 , 0.99 , 2.221 , -9.9 , (20+/-2) e-10 , 1.715 , 0.073 , 357 , 98 , - , - , - , - , - , YES , YES
55 , 2FGLJ0102.3+4216 , GB6 J0102+4214 , 15.61333 , 42.23853 , 125.1 , -20.59 , 0.042 , 0.132 , FSRQ , 0.874 , - , 0.994 , 0.95 , 0 , 1 , 0.984 , -9.9 , (7.7+/-1.3) e-10 , 2.612 , 0.093 , 127 , 43 , - , 20.62 , - , 0.71 , - , YES , YES
56 , 2FGLJ0102.7+5827 , TXS 0059+581 , 15.69042 , 58.40319 , 124.41 , -4.44 , 0.059 , 0.059 , FSRQ , 0.644 , LSP , 0.993 , 0.99 , 0 , 1 , 2.998 , -9.9 , (27.6+/-2.4) e-10 , 2.28 , 0.053 , 298 , 848 , 3.83e-13 , 18.06 , - , 0.638 , 1.607 , NO , YES
57 , 2FGLJ0103.5+5336 , 1RXS 010325.9+533721 , 15.85833 , 53.62 , 124.73 , -9.21 , 0.026 , 0.067 , AGU , -999 , HSP , 0 , 0.97 , 0.99 , 0 , 1.377 , 3.911 , (5.7+/-1.4) e-10 , 1.749 , 0.16 , 44 , 30 , 6.37e-12 , 16.09 , - , 0.151 , 1.432 , NO , YES
58 , 2FGLJ0105.3+3930 , GB6 J0105+3928 , 16.28833 , 39.47083 , 125.81 , -23.33 , 0.062 , 0.108 , BL Lac , 0.44 , - , 0 , 0.97 , 0 , 0.91 , 1.418 , -9.9 , (6.4+/-1.3) e-10 , 2.208 , 0.131 , 60 , 91 , - , 18.03 , - , 0.457 , - , YES , YES
59 , 2FGLJ0105.0-2411 , PKS 0102-245 , 16.2425 , -24.27433 , 170.54 , -85.83 , 0.077 , 0.165 , FSRQ , 1.747 , - , 0.992 , 0.97 , 0 , 0.98 , 1.602 , -9.9 , (7.7+/-1.3) e-10 , 2.405 , 0.106 , 100 , 234 , - , 19.73 , - , 0.773 , - , YES , YES
60 , 2FGLJ0108.6+0135 , 4C +01.02 , 17.16125 , 1.58297 , 131.82 , -60.99 , 0.014 , 0.035 , FSRQ , 2.099 , LSP , 1 , 1 , 0.96 , 1 , 4.783 , 2.872 , (63.5+/-3) e-10 , 2.262 , 0.042 , 3683 , 2621 , 4.3e-13 , 18.78 , - , 0.893 , 1.132 , YES , YES
61 , 2FGLJ0109.0+1817 , MG1 J010908+1816 , 17.28417 , 18.26847 , 128.81 , -44.4 , 0.03 , 0.089 , BL Lac , 0.443 , HSP , 0.998 , 0.98 , 0.99 , 0.98 , 1.699 , 3.946 , (5+/-1.1) e-10 , 1.992 , 0.175 , 44 , 90 , 9.75e-12 , 15.74 , 16.38 , 0.342 , 1.124 , YES , YES
62 , 2FGLJ0109.9+6132 , TXS 0106+612 , 17.44375 , 61.55814 , 125.11 , -1.24 , 0.026 , 0.044 , FSRQ , 0.785 , LSP , 0.998 , 0.99 , 0 , 1 , 2.858 , -9.9 , (52.6+/-3.4) e-10 , 2.189 , 0.058 , 1102 , 305 , 2.6e-13 , 19.1 , - , 0.478 , 1.703 , NO , YES
63 , 2FGLJ0110.3+6805 , 4C +67.04 , 17.5525 , 68.09483 , 124.68 , 5.28 , 0.011 , 0.052 , AGU , -999 , ISP , 0.998 , 1 , 0.98 , 1 , 4.178 , 3.591 , (19+/-2.2) e-10 , 2.134 , 0.08 , 145 , 1707 , 2.32e-12 , 17.13 , - , 0.423 , 1.685 , NO , YES
64 , 2FGLJ0112.1+2245 , S2 0109+22 , 18.02417 , 22.74386 , 129.14 , -39.88 , 0.021 , 0.028 , BL Lac , 0.265 , ISP , 0.999 , 1 , 0.99 , 1 , 3.301 , 4.334 , (71.3+/-3.2) e-10 , 2.066 , 0.028 , 2465 , 385 , 4.7e-12 , 15.62 , 14.23 , 0.298 , 1.592 , YES , YES
65 , 2FGLJ0112.8+3208 , 4C 31.03 , 18.20958 , 32.13817 , 128.19 , -30.52 , 0.002 , 0.041 , FSRQ , 0.603 , LSP , 1 , 1 , 0 , 1 , 3.73 , -9.9 , (45.6+/-2.6) e-10 , 2.31 , 0.033 , 1580 , 684 , 3.36e-12 , 19.02 , - , 0.755 , 0.805 , YES , YES
66 , 2FGLJ0113.2-3557 , PMN J0112-3552 , 18.16083 , -35.85789 , 276.9 , -80.18 , 0.156 , 0.171 , AGU , -999 , - , 0 , 0.93 , 0 , 0 , 0.646 , -9.9 , (3.9+/-1.1) e-10 , 2.163 , 0.193 , 29 , 77 , - , 20.58 , - , - , - , NO , NO
67 , 2FGLJ0113.7+4948 , S4 0110+49 , 18.3625 , 49.80661 , 126.57 , -12.91 , 0.051 , 0.086 , FSRQ , 0.395 , LSP , 0.998 , 0.99 , 0.97 , 0.99 , 2.863 , 3.135 , (8.6+/-1.5) e-10 , 2.261 , 0.12 , 66 , 667 , 2.96e-12 , 18.83 , - , 0.725 , 0.976 , YES , YES
68 , 2FGLJ0113.2-3557 , PMN J0113-3551 , 18.31583 , -35.86364 , 276.27 , -80.11 , 0.087 , 0.171 , FSRQ , 1.22 , - , 0.99 , 0.97 , 0 , 0.98 , 1.409 , -9.9 , (3.9+/-1.1) e-10 , 2.163 , 0.193 , 29 , 180 , - , 20.27 , - , 0.801 , - , NO , YES
69 , 2FGLJ0114.7+1326 , GB6 J0114+1325 , 18.71958 , 13.42678 , 131.64 , -49.05 , 0.045 , 0.079 , BL Lac , 0 , - , 0.996 , 0.97 , 0 , 0 , 1.5 , -9.9 , (12.1+/-1.6) e-10 , 2.19 , 0.094 , 163 , 64 , - , 17.26 , 16.54 , 0.354 , - , NO , YES
70 , 2FGLJ0114.7+1326 , GB6 J0115+1324 , 18.79667 , 13.41317 , 131.76 , -49.05 , 0.121 , 0.079 , FSRQ , 2.688 , HSP , 0 , 0 , 0 , 1 , 0 , -9.9 , (12.1+/-1.6) e-10 , 2.19 , 0.094 , 163 , 7 , 6.43e-13 , 16.75 , 16.53 , 0.195 , 1.417 , NO , NO
71 , 2FGLJ0115.7+2518 , RX J0115.7+2519 , 18.94208 , 25.33175 , 129.83 , -37.22 , 0.032 , 0.056 , BL Lac , 0 , HSP , 0.998 , 0.97 , 0.99 , 0.91 , 1.515 , 3.806 , (12.9+/-1.7) e-10 , 1.998 , 0.092 , 161 , 38 , 5.03e-12 , 18.23 , 16.7 , 0.305 , 1.217 , YES , YES
72 , 2FGLJ0115.4+0358 , PMN J0115+0356 , 18.91875 , 3.94519 , 134.51 , -58.38 , 0.049 , 0.078 , BL Lac , 0 , - , 0 , 0.98 , 0 , 0.9 , 1.699 , -9.9 , (15.8+/-1.8) e-10 , 2.073 , 0.081 , 232 , 99 , - , 19.67 , - , 0.737 , - , YES , YES
73 , 2FGLJ0116.0-1134 , PKS 0113-118 , 19.05167 , -11.60417 , 144.66 , -73.43 , 0.058 , 0.094 , FSRQ , 0.671 , LSP , 0.996 , 1 , 0.94 , 1 , 3.507 , 2.711 , (15+/-1.7) e-10 , 2.444 , 0.066 , 335 , 1785 , 1.75e-12 , 17.56 , - , 0.752 , 1.134 , YES , YES
74 , 2FGLJ0118.8-2142 , PKS 0116-219 , 19.73833 , -21.69164 , 173.43 , -81.71 , 0.02 , 0.049 , FSRQ , 1.165 , LSP , 0.999 , 1 , 0.91 , 1 , 3.173 , 2.294 , (43.3+/-2.6) e-10 , 2.122 , 0.057 , 1649 , 447 , 2.5e-13 , 19.86 , - , 0.837 , 1.076 , YES , YES
75 , 2FGLJ0118.6-4631 , SUMSS J011902-462637 , 19.76042 , -46.44372 , 288.97 , -69.94 , 0.105 , 0.121 , AGU , -999 , ISP , 0 , 0.89 , 0 , 0 , 1.35 , 1.428 , (3.2+/-1) e-10 , 1.782 , 0.28 , 29 , 74 , 3.83e-13 , 16.18 , - , 0.316 , 1.684 , YES , YES
